"question","manual_source","page","section","answer_summary"
"What are the STO terminals on the FlexPro PCB drive?","AMC_HWManual_FlexPro_PCB.pdf","1","FlexPro PCB STO Terminals","The FlexPro PCB drive STO connections use terminals T1, T2, T3, and T4. Operating temperature range is 0–65°C ambient (storage: -40 to 85°C). PCB design requirements include 1 oz copper planes. Firmware versions prior to 1-2021-4 require an I2C expander; later firmware removed this dependency. Use star-point grounding on the PCB to minimize noise. For the full guide, download the AMC Hardware Manual — FlexPro PCB from a-m-c.com > Support > Downloads > Hardware Manuals."
"How do I configure EtherCAT PDO assignments on a FlexPro drive?","AMC_AppNote_017.pdf","1","EtherCAT PDO Assignments","Default RPDO (master→drive) objects: 6040.00h (controlword), 607A.00h (target position), 60FF.00h (target velocity), 6071.00h (target torque), 2001.03h (AMC control). Default TPDO (drive→master) objects: 6041.00h (statusword), 6064.00h (actual position), 606C.00h (actual velocity), 6077.00h (actual torque), 2023.01h (AMC status). Each PDO supports up to 16 words (256 bits). To modify, use the 3-step process: edit in DriveWare, update the ESI XML file, then write the EEPROM in TwinCAT. Objects 1600h/1A00h allow direct host writes. For the full guide, download the AMC Application Note 017 from a-m-c.com > Support > Downloads > Application Notes."
"How do I read the absolute encoder fault word over EtherCAT?","AMC_CommManual_EtherCAT.pdf","209","Absolute Encoder Fault Word","The absolute encoder fault word is at object 2027.04h. For Hiperface encoders, fault codes range from 00h (no fault) through 28h (various sensor errors). For EnDat encoders, the fault word is bit-mapped with each bit indicating a specific encoder alarm. Read this object via SDO in the CANopen-over-EtherCAT (CoE) protocol to diagnose encoder issues. For the full guide, download the AMC Communication Manual — EtherCAT from a-m-c.com > Support > Downloads > Communication Manuals."
"What is the CANopen EMCY message structure?","AMC_CommManual_CANopen.pdf","28","EMCY Message Structure","CANopen Emergency (EMCY) messages use COB-ID = 80h + Node-ID. The 8-byte message contains: bytes 0-1 = error code (00h=no error, 01h=generic error, 02h=current, 80h–FFh = manufacturer-specific with bit definitions), byte 2 = error register, bytes 3-7 = manufacturer-specific error field. EMCY messages are transmitted when a fault occurs and again when the fault clears. For the full guide, download the AMC Communication Manual — CANopen from a-m-c.com > Support > Downloads > Communication Manuals."
"How do I read the absolute encoder fault word over CANopen?","AMC_CommManual_CANopen.pdf","281","Absolute Encoder Fault Word CANopen","The absolute encoder fault word is at CANopen object 2027.04h. Hiperface encoder fault codes: 00h = no fault, 01h–28h indicate specific sensor errors. EnDat encoder faults are bit-mapped: each bit represents a distinct alarm condition. Access via SDO read using index 2027h, sub-index 04h. A non-zero value indicates an active encoder alarm. For the full guide, download the AMC Communication Manual — CANopen from a-m-c.com > Support > Downloads > Communication Manuals."
"What is the Ethernet/IP CiA 402 state machine?","AMC_CommManual_EthernetIP_FP.pdf","11","CiA 402 State Machine","The CiA 402 drive state machine has 7 states: Not Ready to Switch On, Switch On Disabled, Ready to Switch On, Switched On, Operation Enabled, Quick Stop Active, and Fault. Transitions are driven by controlword bits in the EtherNet/IP implicit I/O. From Fault state, issue a Fault Reset command (controlword bit 7 rising edge) to return to Switch On Disabled. Normal enable sequence: Switch On → Enable Operation. For the full guide, download the AMC Communication Manual — EtherNet/IP FlexPro from a-m-c.com > Support > Downloads > Communication Manuals."
"What modes are available via Ethernet/IP instance 913?","AMC_CommManual_EthernetIP_FP.pdf","15","Ethernet/IP Instance 913 Modes","Ethernet/IP implicit I/O assembly instance 913 supports 8 operating modes: position, velocity, torque, and additional AMC-specific modes. Mode selection is via the controlword in the RPDO. Each mode maps different process data to the assembly. Use the I/O configuration in your PLC to select instance 913 and map the correct data types for your application. For the full guide, download the AMC Communication Manual — EtherNet/IP FlexPro from a-m-c.com > Support > Downloads > Communication Manuals."
"How do I configure the shunt resistor on a FlexPro drive?","AMC_SW_Manual_DriveWare.pdf","1","Shunt Resistor Configuration","Minimum external shunt resistance values by power module: 015A400 = N/A (no shunt required), 030A400 = 20 Ω, 060A400 = 10 Ω, and larger modules have progressively lower minimums. Using a resistance below the minimum will damage the shunt transistor. Configure the shunt resistor value in DriveWare under the bus voltage parameters. For the full guide, download the AMC Software Manual — DriveWare from a-m-c.com > Support > Downloads > Software Downloads."
"What is Integrator Decay and how do I configure it?","AMC_SW_Manual_DriveWare.pdf","1","Integrator Decay","Integrator Decay reduces accumulated integrator (I-term) values when the axis is within a configurable Active Window. Set the decay rate from 0–100% in DriveWare. Velocity and position integrators both have independent decay settings. Use Active Window to define the position error threshold below which decay is active, preventing integrator wind-up at rest. For the full guide, download the AMC Software Manual — DriveWare from a-m-c.com > Support > Downloads > Software Downloads."
"How does the ACE software connect to a drive?","AMC_SW_Manual_ACE.pdf","1","ACE Drive Connection","In ACE, use the Connect To Drive window with default settings: RS232, address 63, baud rate 115200. For USB connections, the default address is also 63. If multiple drives are on the bus, assign unique addresses (62, 61, 60). For RS485 multi-drop, ensure each drive has a unique address and the baud rate matches all nodes. For the full guide, download the AMC Software Manual — ACE from a-m-c.com > Support > Downloads > Software Downloads."
"How do I configure the velocity feedback filter in ACE?","AMC_SW_Manual_ACE.pdf","1","Velocity Feedback Filter","The velocity feedback filter in ACE has an adjustable cutoff frequency range of 50–1500 Hz. Lower values reduce noise but increase phase lag; higher values provide faster response with more noise. Set the filter in the Velocity Loop tuning panel. For systems with high-inertia loads, start at 200–300 Hz and adjust based on stability. For the full guide, download the AMC Software Manual — ACE from a-m-c.com > Support > Downloads > Software Downloads."
"How does current loop auto-tune work in ACE?","AMC_SW_Manual_ACE.pdf","1","Current Loop Auto-Tune","ACE's current loop auto-tune uses the Identify Model function to automatically measure motor electrical parameters (resistance, inductance) and compute optimal proportional and integral current loop gains. Run Identify Model with the motor stationary and connected. The function injects test signals and calculates gains; review and accept the computed values. For the full guide, download the AMC Software Manual — ACE from a-m-c.com > Support > Downloads > Software Downloads."
"What is the biquad filter implementation in ACE?","AMC_SW_Manual_ACE.pdf","1","Biquad Filter","ACE implements the biquad filter in Direct Form II, which provides numerical stability for high-Q filters. Configure the filter with b0, b1, b2 (numerator) and a1, a2 (denominator) coefficients, or use the graphical frequency response editor. Biquad filters can be used for notch filtering resonances or as low-pass/high-pass elements in the velocity or position loop. For the full guide, download the AMC Software Manual — ACE from a-m-c.com > Support > Downloads > Software Downloads."
"How do I configure Hall sensor phasing on a DigiFlex PCB CANopen drive?","AMC_HWManual_DigiFlex_PCB_CANopen.pdf","1","Hall Sensor Phasing","The DigiFlex PCB CANopen drive supports both 60° and 120° Hall phasing. The commutation table for both valid states (H1, H2, H3 = 001 through 110) is in the hardware manual. Select RS485 or RS232 via the onboard selection jumper. Logic supply must be 5 VDC ±5%. Firmware can be updated via the RS232 interface using the firmware update procedure in the manual. For the full guide, download the AMC Hardware Manual — DigiFlex PCB CANopen from a-m-c.com > Support > Downloads > Hardware Manuals."
"What safety rating does the AMC STO function achieve?","AMC_HWManual_DigiFlex_Panel_EtherCAT.pdf","10","STO Safety Rating","AMC's STO (Safe Torque Off) function is rated SIL 3 per IEC 62061 and Category 4 / Performance Level e (PL e) per ISO 13849-1. It uses a dual-channel architecture with STO-1 and STO-2 as independent input channels; removing either channel independently disables torque output. A monthly proof test is required to demonstrate both channels operate independently. For the full guide, download the AMC Hardware Manual — DigiFlex Panel EtherCAT from a-m-c.com > Support > Downloads > Hardware Manuals."
"What are the bus capacitance requirements for DigiFlex Panel EtherCAT drives?","AMC_HWManual_DigiFlex_Panel_EtherCAT.pdf","10","Bus Capacitance Requirements","Bus capacitance requirements for the DigiFlex Panel EtherCAT drive are specified in the hardware manual safety section (p.10). Minimum bus capacitance ensures stable operation and prevents voltage spikes during regeneration. Consult the per-model specification table for the minimum external capacitance value required for your supply voltage and load. For the full guide, download the AMC Hardware Manual — DigiFlex Panel EtherCAT from a-m-c.com > Support > Downloads > Hardware Manuals."
"How do I configure the drive for auto-start using the Motion Engine?","AMC_AppNote_027.pdf","1","Motion Engine Auto-Start","To auto-start a motion at power-up, set object 20C8.01h bits 9–15 (auto-initiate) in addition to bit 4 (enable) and bits 5–8 (startup index). In Modbus this is register 40016. Alternatively configure via object 2008.01h bit 4. Once set, the Motion Engine takes exclusive control of the drive and executes the configured startup index immediately upon enabling. For the full guide, download the AMC Application Note 027 from a-m-c.com > Support > Downloads > Application Notes."
"What are the valid Hall states for the DigiFlex PCB drive commutation?","AMC_HWManual_DigiFlex_PCB_CANopen.pdf","1","DigiFlex PCB Hall States","The DigiFlex PCB drive commutation table lists valid Hall states (H1, H2, H3): 001, 010, 011, 100, 101, 110 for both 60° and 120° phasing. States 000 and 111 are invalid and will cause a commutation fault. Verify Hall sensor connections and phasing selection jumper position before enabling the drive. For the full guide, download the AMC Hardware Manual — DigiFlex PCB CANopen from a-m-c.com > Support > Downloads > Hardware Manuals."
"How do I perform a serial loopback test for RS232?","AMC_AppNote_050.pdf","1","RS232 Loopback Test","To verify an RS232 adapter, perform a DB-9 loopback test: connect pin 2 to pin 3 (RX to TX), pin 7 to pin 8 (RTS to CTS), and tie pins 1, 4, and 6 together (DCD, DTR, DSR). Type characters in a terminal program and verify they echo back. Recommended USB-to-serial adapters: ATEN USB to Serial 1.5 or B&B Electronics USOPTL4/USO9ML2-LS. For the full guide, download the AMC Application Note 050 from a-m-c.com > Support > Downloads > Application Notes."
"How does the PLS rotary rollover mode work?","AMC_AppNote_034.pdf","1","PLS Rotary Rollover Mode","In PLS rotary mode with rollover, the output activates when the axis position is between the Lower Edge and Upper Edge values and repeats after each Repeat Delta. The condition Lower Edge + Repeat Delta > Upper Edge must be satisfied for correct rollover behavior. Configure the repeat count for cyclic operation (e.g., conveyor belt applications). For the full guide, download the AMC Application Note 034 from a-m-c.com > Support > Downloads > Application Notes."
"How do I configure breakpoints in the Motion Engine sequencer?","AMC_AppNote_035.pdf","1","Sequencer Breakpoints","The Motion Engine sequencer supports breakpoints for step-by-step debugging. Set a breakpoint on any sequence step in ACE or DriveWare; the sequencer pauses at that step and waits for a manual continue command. Use this to verify I/O states, position, and velocity at each step of the sequence without running the full profile. For the full guide, download the AMC Application Note 035 from a-m-c.com > Support > Downloads > Application Notes."
"What is the difference between CMApplication.dff and CMApplication.lff?","AMC_AppNote_049.pdf","1","Click&Move File Formats","CMApplication.dff is the Click&Move application binary that is burned to drive NVM for persistent storage — it survives power cycles. CMApplication.lff is loaded into RAM via Ethernet and runs immediately without modifying NVM; it is lost on power cycle. Use .dff for production deployments and .lff for development/testing. To remove an application from NVM, download clearapp.dff. For the full guide, download the AMC Application Note 049 from a-m-c.com > Support > Downloads > Application Notes."
"What is the minimum shunt resistance for a 060A400 power module?","AMC_SW_Manual_DriveWare.pdf","1","Shunt Resistance 060A400","The minimum external shunt resistance for the 060A400 power module is 10 Ω. Using a lower resistance risks damaging the shunt transistor. The 030A400 module requires a minimum of 20 Ω, and the 015A400 module does not require an external shunt. Always configure the shunt value in DriveWare to match the installed resistor. For the full guide, download the AMC Software Manual — DriveWare from a-m-c.com > Support > Downloads > Software Downloads."
"How do I configure digital I/O for sequencer triggering?","AMC_AppNote_035.pdf","1","Sequencer I/O Triggering","Assign digital input lines to Motion Select 0, 1, 2, and 3 bits in the I/O configuration to select sequences externally. The 4-bit binary value on these inputs selects which of the 16 sequences runs. Configure the inputs as active high or active low to match your controller logic. For the full guide, download the AMC Application Note 035 from a-m-c.com > Support > Downloads > Application Notes."
"What are the CANopen object addresses for Motion Engine control?","AMC_AppNote_027.pdf","1","Motion Engine CANopen Objects","Motion Engine control uses object 20C8.01h (Modbus register 40016): bit 4 = enable, bits 0–2 = motion type, bits 3–4 = selection source, bits 5–8 = startup index, bits 9–15 = auto-initiate configuration. Object 2008.01h bit 4 is an alternative enable location. When the Motion Engine is enabled it takes exclusive command source control. For the full guide, download the AMC Application Note 027 from a-m-c.com > Support > Downloads > Application Notes."
"How do I connect an analog drive to a PC for configuration?","AMC_AppNote_050.pdf","1","Analog Drive PC Connection","Connect via RS232 using a straight (not null-modem) cable. Default settings are address 63 and 9600 baud. In ACE, use the Connect To Drive window and select RS232 with baud 115200 (ACE default). If using a USB-to-serial adapter, use ATEN USB to Serial 1.5 or B&B Electronics USOPTL4/USO9ML2-LS. Perform a loopback test (DB-9 pins 2+3, 7+8, tie 1+4+6) to verify adapter function before connecting to the drive. For the full guide, download the AMC Application Note 050 from a-m-c.com > Support > Downloads > Application Notes."
"How does CANopen multi-axis addressing work?","AMC_AppNote_002.pdf","1","CANopen Multi-Axis Addressing","Each CANopen node requires a unique Node-ID in the range 1–127. Set the Node-ID via DIP switches or via software parameter. The EMCY message COB-ID = 80h + Node-ID, so each axis generates faults on a unique COB-ID. Default address for AMC drives is 63 (3Fh). For multi-axis RS485 networks, RS232 and RS485 NVM parameters are stored independently. For the full guide, download the AMC Application Note 002 from a-m-c.com > Support > Downloads > Application Notes."
"What is the FlexPro PCB temperature operating range?","AMC_HWManual_FlexPro_PCB.pdf","1","FlexPro PCB Temperature Range","The FlexPro PCB drive operates from 0°C to 65°C ambient temperature. Storage temperature range is -40°C to +85°C. Exceeding the maximum ambient temperature requires derating the output current per the thermal derating curve. For PCB integration, use 1 oz copper planes and star-point grounding to minimize thermal resistance. For the full guide, download the AMC Hardware Manual — FlexPro PCB from a-m-c.com > Support > Downloads > Hardware Manuals."
"How do I configure Integrator Decay Active Window?","AMC_SW_Manual_DriveWare.pdf","1","Integrator Decay Active Window","In DriveWare, set the Active Window parameter to define the position error threshold (in encoder counts) below which Integrator Decay is active. The decay rate is configured from 0–100%. Velocity and position integrators each have independent decay rates. A well-tuned Active Window prevents integrator wind-up at rest without affecting dynamic response. For the full guide, download the AMC Software Manual — DriveWare from a-m-c.com > Support > Downloads > Software Downloads."
"What is the CRC algorithm used in AMC serial communication?","AMC_AppNote_006.pdf","1","Serial CRC Algorithm","AMC RS485/RS232 serial communication uses CRC-16-CCITT XModem for message integrity. The CRC is computed over the entire message (SOF + address + control + index + sub-index + data) and appended as the last 2 bytes (CRC-high, CRC-low). The XModem polynomial is 0x1021 with initial value 0x0000. Verify the CRC on every received message before processing. For the full guide, download the AMC Application Note 006 from a-m-c.com > Support > Downloads > Application Notes."
"How does the AMC EtherCAT ESI XML file work?","AMC_AppNote_017.pdf","1","EtherCAT ESI XML","The ESI (EtherCAT Slave Information) XML file describes the drive's PDO structure, object dictionary, and device identity to the EtherCAT master. When modifying PDO assignments (e.g., adding or removing objects), update the ESI XML to match the new configuration, then write it to the drive EEPROM using TwinCAT. Mismatches between the ESI XML and drive EEPROM configuration cause initialization errors. For the full guide, download the AMC Application Note 017 from a-m-c.com > Support > Downloads > Application Notes."
"How do I configure CANopen NMT state transitions?","AMC_CommManual_CANopen.pdf","1","CANopen NMT States","CANopen NMT controls the network state machine: Initialization → Pre-Operational → Operational → Stopped. From the master, send NMT commands to individual nodes (using Node-ID) or all nodes (Node-ID = 0). To start a node, send NMT Start Remote Node (01h). To enter Pre-Op, send 80h. Emergency objects are only transmitted in Operational state. Verify Node-ID and NMT state before attempting PDO communication. For the full guide, download the AMC Communication Manual — CANopen from a-m-c.com > Support > Downloads > Communication Manuals."
"How do I configure RS485 baud rate and address on a DigiFlex drive?","AMC_AppNote_002.pdf","1","RS485 Baud and Address","Default RS485 settings are 9600 baud and address 63. To change them, write new values to NVM via the serial interface or ACE software. RS232 and RS485 parameters are stored independently in NVM — changing RS232 settings does not affect RS485 settings. For multi-drop RS485 networks, assign unique addresses to each drive. For the full guide, download the AMC Application Note 002 from a-m-c.com > Support > Downloads > Application Notes."
"What is the AMC serial message header format?","AMC_AppNote_036.pdf","1","Serial Message Header","The AMC serial message header format is: SOF byte A5h, address byte, control byte, 2-byte index, 1-byte sub-index (offset), data word(s), and 2-byte CRC-16-CCITT XModem. The control byte encodes message type (read/write) and data length. Interface input commands use index 45h. All values are little-endian. For the full guide, download the AMC Application Note 036 from a-m-c.com > Support > Downloads > Application Notes."
"How do I configure CANopen PDO mapping?","AMC_CommManual_CANopen.pdf","1","CANopen PDO Mapping","CANopen PDO mapping is configured via SDO writes to the PDO communication (1400h–17FFh for RPDOs, 1800h–1BFFh for TPDOs) and mapping objects (1600h–17FFh, 1A00h–1BFFh). Disable the PDO (set number of mapped objects = 0) before modifying mapping entries. Each mapping entry is a 32-bit value encoding object index (16 bits), sub-index (8 bits), and bit length (8 bits). Re-enable the PDO after all mapping changes. For the full guide, download the AMC Communication Manual — CANopen from a-m-c.com > Support > Downloads > Communication Manuals."
"What are the FlexPro PCB design requirements for I2C expander?","AMC_HWManual_FlexPro_PCB.pdf","1","FlexPro PCB I2C Expander","FlexPro PCB firmware versions prior to 1-2021-4 require an I2C expander on the PCB design for proper I/O expansion. Firmware 1-2021-4 and later removed this requirement. If designing a PCB with older firmware in use, include the I2C expander circuit per the hardware manual. For new designs, update to firmware 1-2021-4 or later to eliminate this dependency. For the full guide, download the AMC Hardware Manual — FlexPro PCB from a-m-c.com > Support > Downloads > Hardware Manuals."
"How do I configure the Waveform Generator in DriveWare?","AMC_SW_Manual_DriveWare.pdf","1","Waveform Generator","The DriveWare Waveform Generator provides a status indicator showing the generator state (idle, running, fault). Configure waveform type (sine, square, triangle), amplitude, frequency, and offset. The generator can be used for testing current loop response, velocity loop bandwidth, and mechanical resonance. Monitor the real-time status indicator to confirm the generator is running before interpreting oscilloscope data. For the full guide, download the AMC Software Manual — DriveWare from a-m-c.com > Support > Downloads > Software Downloads."
"What is the POWERLINK network specification for AMC drives?","AMC_AppNote_001.pdf","1","POWERLINK Specification","AMC drives support POWERLINK at 100 Mbit/s with a maximum of 240 nodes per network. POWERLINK uses a time-slot protocol managed by a Managing Node (MN), which polls Controlled Nodes (CN) in sequence for deterministic real-time performance. Cycle times of 200–400 µs are typical. For the full guide, download the AMC Application Note 001 from a-m-c.com > Support > Downloads > Application Notes."
"How do I configure the EtherCAT drive EEPROM for new PDO assignments?","AMC_AppNote_017.pdf","1","EtherCAT EEPROM Write","After modifying PDO assignments in DriveWare and updating the ESI XML file, write the new configuration to the drive EEPROM using TwinCAT's EEPROM write function. In TwinCAT, select the EtherCAT device, navigate to the EEPROM tab, and write the updated ESI XML. The drive must be in pre-operational state during the EEPROM write. Incorrect EEPROM contents will prevent the slave from initializing. For the full guide, download the AMC Application Note 017 from a-m-c.com > Support > Downloads > Application Notes."
"What is the default IP address of the MACC controller?","AMC_AppNote_047.pdf","1","MACC Default IP","The MACC default IP address is 192.168.100.50. Configure your PC to IP address 192.168.100.240 with subnet 255.255.255.0 to communicate with the MACC out of the box. Verify connectivity with a ping before attempting to connect with the C&M compiler. The C&M compiler target for MACC programs is MAL-MACC. For the full guide, download the AMC Application Note 047 from a-m-c.com > Support > Downloads > Application Notes."
"What is the over-temperature fault threshold on analog drives?","AMC_AppNote_009.pdf","1","Over-Temperature Fault","The over-temperature fault on AMC analog drives triggers when the internal thermistor exceeds 65°C. The red LED illuminates and the bridge disables. Allow the drive to cool, verify adequate airflow, and check that the ambient temperature is within the 0–65°C operating range. Inspect mounting for proper thermal contact if using a heatsink. For the full guide, download the AMC Application Note 009 from a-m-c.com > Support > Downloads > Application Notes."
"What are the MACC C&M compiler targets?","AMC_AppNote_047.pdf","1","MACC Compiler Targets","The C&M compiler targets for MACC programs are MAL-MACC (for the MACC motion controller). Compile your motion program in the C&M IDE selecting the MAL-MACC target, then download via Ethernet to the MACC at its default IP 192.168.100.50. Ensure the MACC firmware is up to date before downloading new programs. For the full guide, download the AMC Application Note 047 from a-m-c.com > Support > Downloads > Application Notes."
"How do I configure CANopen SDO expedited transfers?","AMC_CommManual_CANopen.pdf","1","CANopen SDO Transfers","CANopen SDO (Service Data Object) expedited transfers are used for configuration parameter access. An expedited write (download) sends the data in a single 8-byte CAN frame: command byte, index (2 bytes LE), sub-index (1 byte), and 4 bytes of data. Read (upload) uses the same frame structure. The default SDO server COB-ID is 600h + Node-ID (request) and 580h + Node-ID (response). Confirm the correct Node-ID before sending SDO commands. For the full guide, download the AMC Communication Manual — CANopen from a-m-c.com > Support > Downloads > Communication Manuals."
"What does the CONT. CURR. REDUCTION DIP switch do on analog drives?","AMC_AppNote_011.pdf","1","Continuous Current Reduction Switch","The CONT. CURR. REDUCTION DIP switch on analog drives reduces the continuous current limit by a fixed percentage (typically 50%) when activated, providing additional thermal protection for low-duty-cycle applications. The CURRENT SCALING switch adjusts the overall current output scaling. Both switches work in conjunction with the CURR LIMIT potentiometer setting. For the full guide, download the AMC Application Note 011 from a-m-c.com > Support > Downloads > Application Notes."
"How do I configure the PLS time-based pulse mode?","AMC_AppNote_034.pdf","1","PLS Time-Based Pulse","In time-based PLS mode, the output pulse is generated at a fixed time interval rather than based on axis position. Configure the pulse period and pulse width in the PLS parameter table. This mode is useful for generating encoder simulation outputs or trigger pulses for external equipment at a fixed rate. For the full guide, download the AMC Application Note 034 from a-m-c.com > Support > Downloads > Application Notes."
"How do I configure ACE PLS parameters?","AMC_SW_Manual_ACE.pdf","1","ACE PLS Parameters","The ACE software PLS parameters table includes: Lower Edge (position or time threshold for output activation), Upper Edge (deactivation threshold), Repeat Delta (increment for rotary rollover), repeat count, and output channel assignment. Configure in the PLS setup panel within ACE. Verify the rotary rollover condition (Lower Edge + Repeat Delta > Upper Edge) when using rotary mode. For the full guide, download the AMC Software Manual — ACE from a-m-c.com > Support > Downloads > Software Downloads."
"What safety documentation is required for the STO function?","AMC_HWManual_DigiFlex_Panel_EtherCAT.pdf","10","STO Safety Documentation","The STO function safety documentation requires: IEC 62061 SIL 3 certification (dual-channel STO-1 and STO-2), ISO 13849-1 Category 4 / PL e certification, and a monthly proof test procedure to verify both channels operate independently. Retain the proof test records as part of your machine safety file. The hardware manual safety section (p.10) contains the full STO safety specification and installation requirements. For the full guide, download the AMC Hardware Manual — DigiFlex Panel EtherCAT from a-m-c.com > Support > Downloads > Hardware Manuals."
"What is the Ethernet/IP control state machine?","AMC_CommManual_EthernetIP_FP.pdf","11","Ethernet/IP Control State Machine","The Ethernet/IP drive implements the CiA 402 state machine with 7 states: Not Ready to Switch On, Switch On Disabled, Ready to Switch On, Switched On, Operation Enabled, Quick Stop Active, and Fault. Drive enable sequence: send controlword to transition Switch On Disabled → Ready to Switch On → Switched On → Operation Enabled. To clear a fault, send a Fault Reset command (controlword bit 7 rising edge) from the Fault state. Eight operating modes are available via assembly instance 913. For the full guide, download the AMC Communication Manual — EtherNet/IP FlexPro from a-m-c.com > Support > Downloads > Communication Manuals."
"How do I configure the velocity command scaling?","AMC_SW_Manual_ACE.pdf","30","Configuring the Drive / Communication Channel","Set the velocity scaling units and configure the communication channel parameters. The scaling determines how network velocity commands are translated to motor speed. For the full guide, download ""AMC_SW_Manual_ACE.pdf"" from a-m-c.com > Support > Downloads > Software Downloads."
"What do the LED indicators mean on a DigiFlex drive?","AMC_HWManual_DigiFlex_Panel_EtherCAT.pdf","48","Power LEDs Functionality","DigiFlex drives have two LEDs: **Power LED** — GREEN = power OK, RED = shunt regulator active (excess energy during regeneration), RED/GREEN flashing = shunt cycling on/off. **Status LED** — GREEN = power bridge enabled (drive running), RED = power bridge disabled (via inhibit input or fault condition). If both LEDs are off, check DC supply voltage and fuse. If Status LED is RED, check: (1) inhibit inputs are in the enabled state, (2) no active fault codes in DriveWare status panel, (3) STO inputs are not active. For more details, download the DigiFlex HW Installation Manual from a-m-c.com > Support > Downloads > Hardware Manuals."
"What do the LED indicators mean on a FlexPro drive?","AMC_HWManual_FlexPro_PCB.pdf","19","Status LEDs","FlexPro drives have Status LEDs that indicate: **GREEN solid** = drive enabled and operating normally. **RED solid** = fault condition or bridge disabled. **GREEN blinking** = drive powered but not enabled (waiting for enable command). **RED blinking** = specific fault active. Check ACE software for detailed fault codes. If no LEDs are lit, verify DC supply voltage is within the 10-55 VDC range and check the power connector. For more details, download the FlexPro PCB HW Installation Manual from a-m-c.com > Support > Downloads > Hardware Manuals."
"What do the LED indicators mean on an AxCent drive?","AMC_HWManual_AxCent_Panel.pdf","52","Status LED","AxCent drives have a single status LED: **GREEN** = drive enabled, normal operation. **RED** = fault condition — the drive has disabled its output. Common causes: over-temperature (>65°C internal), over-voltage on DC bus, invalid Hall sensor state, or short circuit. If the LED turns RED during motor rotation, check Hall sensor wiring and phasing. The LED should stay GREEN through a full shaft revolution. If it flashes RED at certain positions, the Hall sensor sequence is incorrect. For more details and the 9-step troubleshooting procedure, download App Note 009 from a-m-c.com > Support > Downloads > Application Notes."
"What does a red LED mean on an analog drive?","AMC_AppNote_009.pdf","1","Red LED Troubleshooting","A red LED on an AMC analog drive indicates a fault condition. Follow the 9-step isolation procedure from App Note 009: (1) Remove motor connections — if LED turns GREEN, the fault is motor-related. (2) Check Hall sensors — valid states are 60° apart (001, 010, 011, 100, 101, 110). Invalid states 000 or 111 cause a fault. (3) Check for short circuits between motor phases. (4) Verify DC bus voltage is within range. (5) Check inhibit/enable inputs. (6) Verify current limit DIP switches are set correctly. (7) Check for over-temperature. (8) Reduce command signal to zero and re-enable. (9) If still RED, the drive may need replacement. Download App Note 009 (Red LED Troubleshooting) from a-m-c.com > Support > Downloads > Application Notes."
"What causes an over-voltage fault?","AMC_HWManual_DigiFlex_Panel_EtherCAT.pdf","48","Over Voltage","An over-voltage fault occurs when the DC bus voltage exceeds the drive's maximum rating. Common causes: (1) **Regeneration** — the motor acts as a generator during deceleration, pumping energy back into the DC bus. Solution: use a shunt resistor/regulator, reduce deceleration rate, or add a larger bus capacitor. (2) **Power supply voltage too high** — verify supply is within the drive's rated range. (3) **Back-EMF from large motors** — high-speed motors can generate voltage that exceeds the bus limit during braking. The drive will auto-disable and the Status LED turns RED. Clear the fault by cycling power or sending a fault reset command (Controlword bit 7). For shunt resistor sizing, see App Note 018 (Power Supply Sizing) at a-m-c.com > Support > Downloads > Application Notes."
"What causes an over-current fault?","AMC_HWManual_DigiFlex_Panel_EtherCAT.pdf","48","Over Current","An over-current fault occurs when output current exceeds the drive's peak rating. Common causes: (1) **Short circuit** between motor phases or phase to ground — check wiring with a multimeter. (2) **Incorrect current loop tuning** — gains too high cause oscillation and current spikes. Reduce Kp first. (3) **Motor stall** — motor physically blocked causes current to rise to the limit. (4) **Incorrect motor parameters** — wrong Ke (back-EMF constant) or resistance values in drive configuration. (5) **Incorrect commutation phasing** — causes the drive to fight the motor instead of driving it. Fix: run auto-commutation in ACE/DriveWare. The drive disables output and Status LED turns RED. For tuning help, see App Note 015 (Current Loop Tuning) at a-m-c.com > Support > Downloads > Application Notes."
"What causes an over-temperature fault?","AMC_HWManual_AxCent_Panel.pdf","52","Over Temperature","An over-temperature fault triggers when the drive's internal temperature exceeds its thermal limit (~65°C for analog drives, varies by model for digital). Common causes: (1) **Insufficient heatsinking** — the drive needs proper thermal contact with a heatsink or chassis. Check thermal pad/compound. (2) **Excessive continuous current** — running near peak current for extended periods. Reduce load or use a higher-rated drive. (3) **Poor airflow** — ensure adequate ventilation around the drive. (4) **High ambient temperature** — derate the drive's current capacity at elevated temperatures (check datasheet). The drive will auto-disable. It will NOT re-enable until temperature drops below the threshold. For mounting and thermal guidelines, see the HW Installation Manual for your drive family at a-m-c.com > Support > Downloads > Hardware Manuals."
